제목,저자,출판사,출판일,가격
자본주의의 적,정지아,창비,2021년 04월,"12,600"
이 와중에 스무 살,최지연,창비교육,2022년 10월,"12,600"
말 없는 자들의 목소리,황모과,래빗홀,2023년 08월,"13,500"
최후의 경전,김진명,새움,2023년 01월,"14,850"
노랑무늬영원,한강,문학과지성사,2018년 11월,"12,600"
계속해보겠습니다,황정은,창비,2014년 10월,"12,150"
끌어안는 소설,정지아,창비교육,2023년 05월,"15,300"
죽은 왕녀를 위한 파반느,박민규,예담,2009년 07월,"15,300"
도림천 연가 (상),이연수,타임라인,2023년 11월,"15,300"
너는 내 목소리를 닮았어,김서해,자이언트북스,2023년 07월,"11,520"
고구려 6,김진명,이타북스,2021년 06월,"14,220"
딸에 대하여,김혜진,민음사,2017년 09월,"12,600"
한국단편문학선 1,김동인,민음사,2000년 10월,"9,900"
재수사 2,장강명,은행나무,2022년 08월,"14,400"
전세 인생,권제훈,&(앤드),2023년 11월,"11,700"
페퍼민트,백온유,창비,2022년 07월,"12,600"
재수사 1,장강명,은행나무,2022년 08월,"14,400"
어느 날 내가 죽었습니다,이경혜,바람북스,2021년 03월,"11,520"
완득이,김려령,창비,2023년 02월,"12,600"
노을 건너기,천선란,창비,2023년 08월,"9,000"
도림천 연가 (하),이연수,타임라인,2023년 11월,"15,300"
너의 얼굴이 궁금해,오휘명,히읏,2023년 11월,"13,950"
지구인을 위한 축구 교실,오수완,나무옆의자,2023년 11월,"15,300"
무궁화꽃이 피었습니다 2,김진명,이타북스,2023년 04월,"15,120"
공방의 계절,연소민,모요사,2023년 03월,"14,400"
선택과 둔주,이효원,북랩,2023년 10월,"13,500"
토지 3,박경리,다산책방,2023년 06월,"15,300"
관촌수필,이문구,문학과지성사,2018년 09월,"13,500"
나목·도둑맞은 가난,박완서,민음사,2005년 10월,"12,600"
파우스터,김호연,위즈덤하우스,2019년 04월,"15,120"
쿄코와 쿄지,한정현,문학과지성사,2023년 09월,"15,300"
어떤 진심 ,안보윤,현대문학,2022년 12월,"13,500"
파도가 바다의 일이라면,김연수,문학동네,2015년 10월,"12,600"
토지 7,박경리,다산책방,2023년 06월,"15,300"
2023 신춘문예당선 소설집,한국소설가협회,한국소설가협회,2023년 01월,"17,100"
"천하의 지식인이여, 내게 와서 물으라",백금남,피플워치,2023년 11월,"24,700"
